word,definition,part of speech
implacable,"incapable of being appeased or mitigated (Watch out: once you shun Grandma’s cooking, she is totally implacable.)implement 1. (n.) an instrument, utensil, tool (Do you have a knife or some other sort of implement that I could use to pry the lid off of this jar?) 2. (v.) to put into effect, to institute (After the first town curfew failed to stop the graffiti problem, the mayor implemented a new policy to use security cameras to catch perpetrators in the act.)",adj.
implicate,"to involve in an incriminating way, incriminate (Even though Tom wasn’t present at the time of the shooting, he was implicated by the evidence suggesting that he had supplied the shooters with guns.)",v.
implicit,"understood but not outwardly obvious, implied (I know Professor Smith didn’t actually say not to write from personal experience, but I think such a message was implicit in her instruction to use scholarly sources.)",adj.
impregnable,"resistant to capture or penetration (Though the invaders used battering rams, catapults, and rain dances, the fortress proved impregnable and resisted all attacks.)",adj.
impudent,"casually rude, insolent, impertinent (The impudent young man looked the princess up and down and told her she was hot even though she hadn’t asked him.)",adj.
impute,"to ascribe, blame (The CEO imputed the many typos in the letter to his lazy secretary.)",v.
inane,"silly and meaningless (Some films are so inane that the psychology of the characters makes absolutely no sense.)",adj.
inarticulate,"incapable of expressing oneself clearly through speech (Though he spoke for over an hour, the lecturer was completely inarticulate and the students had no idea what he was talking about.)incarnate 1. (adj.) existing in the flesh, embodied (In the church pageant, I play the role of greed incarnate.) 2. (v.) to give human form to (The alien evaded detection by incarnating himself in a human form.)incendiary 1. (n.) a person who agitates (If we catch the incendiary who screamed “bomb” in the middle of the soccer match, we’re going to put him in jail.) 2. (adj.)inflammatory, causing combustion (Gas and lighter fluid are incendiary materials that should be kept out of hot storage areas.)",adj.
incessant,"unending (We wanted to go outside and play, but the incessantrain kept us indoors for two days.)",adj.
inchoate,"unformed or formless, in a beginning stage (The country’s government is still inchoate and, because it has no great tradition, quite unstable.)",adj.
incisive,"clear, sharp, direct (The discussion wasn’t going anywhere until her incisive comment allowed everyone to see what the true issues were.)",adj.
inclination,"a tendency, propensity (Sarah has an inclination to see every foreign film she hears about, even when she’s sure that she won’t like it.)",n.
incontrovertible,"indisputable (Only stubborn Tina would attempt to disprove the incontrovertible laws of physics.)",adj.
incorrigible,"incapable of correction, delinquent (You can buy Grandma nicotine gum all you want, but I think that after sixty-five years of smoking she’s incorrigible.)",adj.
increment,"an enlargement; the process of increasing(The workmen made the wall longer, increment by increment.)incumbent 1. (n.) one who holds an office (The incumbent senator is already serving his fifth term.) 2. (adj.) obligatory (It is incumbent upon this organization to offer aid to all who seek it.)",n.
indefatigable,"incapable of defeat, failure, decay (Even after traveling 62 miles, the indefatigable runner kept on moving.)",adj.
indigenous,"originating in a region (Some fear that these plants, which are not indigenous to the region, may choke out the vegetation that is native to the area.)",adj. 
indigent,"very poor, impoverished (I would rather donate money to help the indigent population than to the park sculpture fund.)",adj.
indignation,"anger sparked by something unjust or unfair (I resigned from the sorority because of my indignation at its hazing of new members.)",n.
indolent,"lazy (Why should my indolent children, who can’t even pick themselves up off the couch to pour their own juice, be rewarded with a trip to the mall?)",adj.
indomitable,"not capable of being conquered (To be honest, Jim, my indomitablenature means I could never take orders from anyone, and especially not from a jerk like you.)",adj. 
induce,"to bring about, stimulate (Who knew that our decision to boycott school lunch would induce a huge riot?)",v. 
ineffable,"unspeakable, incapable of being expressed through words (It is said that the experience of playing with a dolphin is ineffable and can only be understood through direct encounter.)",adj.
inept,"not suitable or capable, unqualified (She proved how inept she was when she forgot three orders and spilled a beer in a customer’s lap.)",adj.
inexorable,"incapable of being persuaded or placated (Although I begged for hours, Mom was inexorable and refused to let me stay out all night after the prom.)",adj.
inextricable,"hopelessly tangled or entangled (Unless I look at the solution manual, I have no way of solving this inextricable problem.)",adj.
infamy,"notoriety, extreme ill repute (The infamy of his crime will not lessen as the decades pass.)",n.
infusion,"an injection of one substance into another; the permeation of one substance by another (The infusion of Eastern religion into Western philosophy created interesting new schools of thought.)",n.
ingenious,"clever, resourceful (Her ingenious use of walnuts instead of the peanuts called for by the recipe was lauded by the other garden club members who found her cake delicious.)",adj.
ingenuous,"not devious; innocent and candid (He must have writers, but his speeches seem so ingenuous it’s hard to believe he’s not speaking from his own heart.)",adj.
inhibit,"to prevent, restrain, stop (When I told you I needed the car last night, I certainly never meant to inhibit you from going out.)",v.
inimical,"hostile, enemylike (I don’t see how I could ever work for a company that was so cold and inimical to me during my interviews.)",adj.
iniquity,"wickedness or sin (“Your iniquity,” said the priest to the practical jokester, “will be forgiven.”)",n.
injunction,"an order of official warning (After his house was toilet-papered for the fifth time, the mayor issued an injunction against anyone younger than 21 buying toilet paper.)",n.
innate,"inborn, native, inherent (His incredible athletic talent is innate, he never trains, lifts weights, or practices.)",adj.
innocuous,"harmless, inoffensive (In spite of their innocuous appearance, these mushrooms are actually quite poisonous.)",adj.
innovate,"to do something in an unprecedented way (Because of the stiff competition, the company knew it needed to pour a lot of energy into innovatingnew and better products.)",v.
innuendo,"an insinuation (During the debate, the politician made several innuendosabout the sexual activities of his opponent.)",n.
inoculate,"to introduce a microorganism, serum, or vaccine into an organism in order to increase immunity to illness; to vaccinate (I’ve feared needles ever since I was inoculated against 37 diseases at age one; but I have also never been sick.)",v.
inquisitor,"one who inquires, especially in a hostile manner (The inquisitor was instructed to knock on every door in town in order to find the fugitive.)",n.
insatiable,"incapable of being satisfied (My insatiable appetite for melons can be a real problem in the winter.)",adj.
insidious,"appealing but imperceptibly harmful, seductive (Lisa’s insidiouschocolate cake tastes so good but makes you feel so sick later on!)",adj.
insinuate,"to suggest indirectly or subtly (I wish Luke and Spencer would stop insinuating that my perfect report card is the result of anything other than my superior intelligence and good work habits.)",v.
insipid,"dull, boring (The play was so insipid, I fell asleep halfway through.)",adj.
insolent,"rude, arrogant, overbearing (That celebrity is so insolent, making fun of his fans right to their faces.)",adj. 
instigate,"to urge, goad (The demagogue instigated the crowd into a fury by telling them that they had been cheated by the federal government.)",v.
insular,"separated and narrow-minded; tight-knit, closed off (Because of the sensitive nature of their jobs, those who work for the CIA must remain insular and generally only spend time with each other.)",adj.
insurgent,"one who rebels (The insurgent snuck into and defaced a different classroom each night until the administration agreed to meet his demands.)",n.
integral,"necessary for completeness (Without the integral ingredient of flour, you wouldn’t be able to make bread.)",adj.
interject,"to insert between other things (During our conversation, the cab driver occasionally interjected his opinion.)",v.
interlocutor,"someone who participates in a dialogue or conversation (When the officials could not come to an agreement over the correct cover of the flags, the prime minister acted as an interlocutor.)",n.
interminable,"without possibility of end (The fact that biology lectures came just before lunch made them seem interminable.)",adj.
intimation,"an indirect suggestion (Mr. Brinford’s intimation that he would soon pass away occurred when he began to discuss how to distribute his belongings among his children.)",n.
intractable,"difficult to manipulate, unmanageable (There was no end in sight to the intractable conflict between the warring countries.)",adj.
intransigent,"refusing to compromise, often on an extreme opinion (The intransigent child said he would have 12 scoops of ice cream, or he would bang his head against the wall until his mother fainted from fear.)",adj.
intrepid,"brave in the face of danger (After scaling a live volcano prior to its eruption, the explorer was praised for his intrepid attitude.)",adj.
inundate,"to flood with abundance (Because I am the star of a new sitcom, my fans are sure to inundate me with fan mail and praise.)",v.
inure,"to cause someone or something to become accustomed to a situation (Twenty years in the salt mines inured the man to the discomforts of dirt and grime.)",v.
invective,"an angry verbal attack (My mother’s irrational invective against the way I dress only made me decide to dye my hair green.)",n.
inveterate,"stubbornly established by habit (I’m the first to admit that I’m an inveterate coffee drinker—I drink four cups a day.)",adj.
inviolable,"secure from assault (Nobody was ever able to break into Batman’s inviolable Batcave.)",adj.
irascible,"easily angered (At the smallest provocation, my irascible cat will begin scratching and clawing.)",adj.
iridescent,"showing rainbow colors (The bride’s large diamond ring was iridescent in the afternoon sun.)",adj.
irreverence,"disrespect (The irreverence displayed by the band that marched through the chapel disturbed many churchgoers.)",n.
irrevocable,"incapable of being taken back (The Bill of Rights is an irrevocablepart of American law.)J",adj.
jubilant,"extremely joyful, happy (The crowd was jubilant when the firefighter carried the woman from the flaming building.)",adj.
judicious,"having or exercising sound judgment (When the judicious king decided to compromise rather than send his army to its certain death, he was applauded.)",adj.
juxtaposition,"the act of placing two things next to each other for implicit comparison (The interior designer admired my juxtaposition of the yellow couch and green table.)K",n.
knell,"the solemn sound of a bell, often indicating a death (Echoing throughout our village, the funeral knell made the stormy day even more grim.)",n.
kudos,"praise for an achievement (After the performance, the reviewers gave the opera singer kudos for a job well done.)L",n.
laceration,"a cut, tear (Because he fell off his bike into a rosebush, the paperboy’s skin was covered with lacerations.)",n.
laconic,"terse in speech or writing (The author’s laconic style has won him many followers who dislike wordiness.)",adj.
languid,"sluggish from fatigue or weakness (In the summer months, the great heat makes people languid and lazy.)",adj.
larceny,"obtaining another’s property by theft or trickery (When my car was not where I had left it, I realized that I was a victim of larceny.)",n.
largess,"the generous giving of lavish gifts (My boss demonstrated great largess by giving me a new car.)",n.
latent,"hidden, but capable of being exposed (Sigmund’s dream represented his latent paranoid obsession with other people’s shoes.)",adj.
laudatory,"expressing admiration or praise (Such laudatory comments are unusual from someone who is usually so reserved in his opinions.)lavish 1. (adj.) given without limits (Because they had worked very hard, the performers appreciated the critic’s lavish praise.) 2. (v.) to give without limits (Because the performers had worked hard, they deserved the praise that the critic lavished on them.)",adj.
legerdemain,"deception, slight-of-hand (Smuggling the French plants through customs by claiming that they were fake was a remarkable bit of legerdemain.)",n.
lenient,"demonstrating tolerance or gentleness (Because Professor Oglethorpe allowed his students to choose their final grades, the other teachers believed that he was excessively lenient.)",adj.
lethargic,"in a state of sluggishness or apathy (When Jean Claude explained to his boss that he was lethargic and didn’t feel like working that day, the boss fired him.)liability 1. (n.) something for which one is legally responsible, usually involving a disadvantage or risk (The bungee-jumping tower was a great liability for the owners of the carnival.) 2. (n.) a handicap, burden (Because she often lost her concentration and didn’t play defense, Marcy was a liability to the team.)",adj. 
libertarian,"advocating principles of liberty and free will (The dissatisfied subjects overthrew the monarch and replaced him with a libertarian ruler who respected their democratic principles.)",adj.
licentious,"displaying a lack of moral or legal restraints (Marilee has always been fascinated by the licentious private lives of politicians.)",adj.
limpid,"clear, transparent (Mr. Johnson’s limpid writing style greatly pleased readers who disliked complicated novels.)",adj.
linchpin,"something that holds separate parts together (The linchpin in the prosecution’s case was the hair from the defendant’s head, which was found at the scene of the crime.)",n.
lithe,"graceful, flexible, supple (Although the dancers were all outstanding, Jae Sun’s control of her lithe body was particularly impressive.)",adj.
litigant,"someone engaged in a lawsuit (When the litigants began screaming at each other, Judge Koch ordered them to be silent.)",n.
lucid,"clear, easily understandable (Because Guenevere’s essay was so lucid, I only had to read it once to understand her reasoning.)",adj.
luminous,"brightly shining (The light of the luminous moon graced the shoulders of the beautiful maiden.)",adj.
lurid,"ghastly, sensational (Gideon’s story, in which he described a character torturing his sister’s dolls, was judged too lurid to be printed in the school’s literary magazine.)M",adj.
maelstrom,"a destructive whirlpool which rapidly sucks in objects (Little did the explorers know that as they turned the next bend of the calm river a vicious maelstrom would catch their boat.)",n.
magnanimous,"noble, generous (Although I had already broken most of her dishes, Jacqueline was magnanimous enough to continue letting me use them.)",adj.
malediction,"a curse (When I was arrested for speeding, I screamed maledictionsagainst the policeman and the entire police department.)",n.
malevolent,"wanting harm to befall others (The malevolent old man sat in the park all day, tripping unsuspecting passersby with his cane.)",adj.
malleable,"capable of being shaped or transformed (Maximillian’s political opinions were so malleable that anyone he talked to was able to change his mind instantly.)",adj.
mandate,"an authoritative command (In the Old Testament, God mandates that no one should steal.)manifest 1. (adj.) easily understandable, obvious (When I wrote the wrong sum on the chalkboard, my mistake was so manifest that the entire class burst into laughter.) 2. (v.) to show plainly (His illness first manifested itself with particularly violent hiccups.)",n.
manifold,"diverse, varied (The popularity of Dante’s Inferno is partly due to the fact that the work allows for manifold interpretations.)",adj.
maudlin,"weakly sentimental (Although many people enjoy romantic comedies, I usually find them maudlin and shallow.)",adj.
maverick,"an independent, nonconformist person (Andreas is a real maverick and always does things his own way.)",n.
mawkish,"characterized by sick sentimentality (Although some nineteenth￾century critics viewed Dickens’s writing as mawkish, contemporary readers have found great emotional depth in his works.)",adj.
maxim,"a common saying expressing a principle of conduct (Miss Manners’s etiquette maxims are both entertaining and instructional.)",n.
meager,"deficient in size or quality (My meager portion of food did nothing to satisfy my appetite.)",adj.
medley,"a mixture of differing things (Susannah’s wardrobe contained an astonishing medley of colors, from olive green to fluorescent pink.)",n.
mendacious,"having a lying, false character (The mendaciouscontent of the tabloid magazines is at least entertaining.)",adj.
mercurial,"characterized by rapid change or temperamentality (Though he was widely respected for his mathematical proofs, the mercurial genius was impossible to live with.)",adj.
meritorious,"worthy of esteem or reward (Manfred was given the congressional medal of honor for his meritorious actions.)",adj.
metamorphosis,"the change of form, shape, substance (Winnifred went to the gym every day for a year and underwent a metamorphosis from a waiflike girl to an athletic woman.)",n.
meticulous,"extremely careful with details (The ornate needlework in the bride’s gown was a product of meticulous handiwork.)",adj.
mitigate,"to make less violent, alleviate (When I had an awful sore throat, only warm tea would mitigate the pain.)moderate 1. (adj.) not extreme (Luckily, the restaurant we chose had moderate prices; none of us have any money.) 2. (n.) one who expresses moderate opinions (Because he found both the liberal and conservative proposals too excessive, Mr. Park sided with the moderates.)",v.
modicum,"a small amount of something (Refusing to display even a modicum of sensitivity, Henrietta announced her boss’s affair in front of the entire office.)",n.
modulate,"to pass from one state to another, especially in music (The composer wrote a piece that modulated between minor and major keys.)",v.
mollify,"to soften in temper (The police officer mollified the angry woman by giving her a warning instead of a ticket.)",v.
morass,"a wet swampy bog; figuratively, something that traps and confuses (When Theresa lost her job, she could not get out of her financial morass.)",n.
mores,"the moral attitudes and fixed customs of a group of people. (Mores change over time; many things that were tolerated in 1975 are no longer seen as being socially acceptable.)",n.
morose,"gloomy or sullen (Jason’s morose nature made him very unpleasant to talk to.)",adj.
multifarious,"having great diversity or variety (This Swiss Army knife has multifarious functions and capabilities. Among other things, it can act as a knife, a saw, a toothpick, and a slingshot.)",adj.
mundane,"concerned with the world rather than with heaven, commonplace (He is more concerned with the mundane issues of day-to-day life than with spiritual topics.)",adj.
munificence,"generosity in giving (The royal family’s munificence made everyone else in their country rich.)",n.
mutable,"able to change (Because fashion is so mutable, what is trendy today will look outdated in five years.)",adj.
myriad,"consisting of a very great number (It was difficult to decide what to do Friday night because the city presented us with myriad possibilities for fun.)N",adj.
nadir,"the lowest point of something (My day was boring, but the nadir came when I accidentally spilled a bowl of spaghetti on my head.)",n.
nascent,"in the process of being born or coming into existence (Unfortunately, my brilliant paper was only in its nascent form on the morning that it was due.)",adj.
nebulous,"vaguely defined, cloudy (The transition between governments meant that who was actually in charge was a nebulous matter.)",adj.
nefarious,"heinously villainous (Although Dr. Meanman’s nefarious plot to melt the polar icecaps was terrifying, it was so impractical that nobody really worried about it.)",adj.
negligent,"habitually careless, neglectful (Jessie’s grandfather called me a negligent fool after I left the door to his apartment unlocked even though there had been a recent string of robberies.)",adj. 
neophyte,"someone who is young or inexperienced (As a neophyte in the literary world, Malik had trouble finding a publisher for his first novel.)",n.
nocturnal,"relating to or occurring during the night (Jackie was a nocturnalperson; she would study until dawn and sleep until the evening.)",adj.
noisome,"unpleasant, offensive, especially to the sense of smell (Nobody would enter the stalls until the horse’s noisome leavings were taken away.)",adj.
nomadic,"wandering from place to place (In the first six months after college, Jose led a nomadic life, living in New York, California, and Idaho.)",adj.
nominal,"trifling, insignificant (Because he was moving the following week and needed to get rid of his furniture more than he needed money, Jordan sold everything for a nominal fee.)",adj.
nonchalant,"having a lack of concern, indifference (Although deep down she was very angry, Marsha acted in a nonchalant manner when she found out that her best friend had used her clothing without asking.)",adj.
nondescript,"lacking a distinctive character (I was surprised when I saw the movie star in person because she looked nondescript.)",adj.
notorious,"widely and unfavorably known (Jacob was notorious for always arriving late at parties.)",adj.
novice,"a beginner, someone without training or experience (Because we were all novices at yoga, our instructor decided to begin with the basics.)",n.
noxious,"harmful, unwholesome (Environmentalists showed that the noxiousweeds were destroying the insects’ natural habitats.)",adj.
nuance,"a slight variation in meaning, tone, expression (The nuances of the poem were not obvious to the casual reader, but the professor was able to point them out.)",n.
nurture,"to assist the development of (Although Serena had never watered the plant, which was about to die, Javier was able to nurture it back to life.)O",v.
obdurate,"unyielding to persuasion or moral influences (The obdurate old man refused to take pity on the kittens.)",adj.
obfuscate,"to render incomprehensible (The detective did want to answer the newspaperman’s questions, so he obfuscated the truth.)",v.
oblique,"diverging from a straight line or course, not straightforward (Martin’s oblique language confused those who listened to him.)",adj.
oblivious,"lacking consciousness or awareness of something (Oblivious to the burning smell emanating from the kitchen, my father did not notice that the rolls in the oven were burned until much too late.)",adj.
obscure,"unclear, partially hidden (Because he was standing in the shadows, his features were obscure.)",adj.
obsequious,"excessively compliant or submissive (Mark acted like Janet’s servant, obeying her every request in an obsequious manner.)",adj.
obsolete,"no longer used, out of date (With the inventions of tape decks and CDs, which both have better sound and are easier to use, eight-track players are now entirely obsolete.)",adj.
obstinate,"not yielding easily, stubborn (The obstinate child refused to leave the store until his mother bought him a candy bar.)",adj.
obstreperous,"noisy, unruly (Billy’s obstreperous behavior prompted the librarian to ask him to leave the reading room.)",adj.
obtuse,"lacking quickness of sensibility or intellect (Political opponents warned that the prime minister’s obtuse approach to foreign policy would embroil the nation in mindless war.)",adj.
odious,"instilling hatred or intense displeasure (Mark was assigned the odious task of cleaning the cat’s litter box.)",adj.
officious,"offering one’s services when they are neither wanted nor needed (Brenda resented Allan’s officious behavior when he selected colors that might best improve her artwork.)",adj. 
ominous,"foreboding or foreshadowing evil (The fortuneteller’s ominous words flashed through my mind as the hooded figure approached me in the alley.)",adj.
onerous,"burdensome (My parents lamented that the pleasures of living in a beautiful country estate no longer outweighed the onerous mortgage payments.)",adj.
opulent,"characterized by rich abundance verging on ostentation (The opulentfurnishings of the dictator’s private compound contrasted harshly with the meager accommodations of her subjects.)",adj. 
oration,"a speech delivered in a formal or ceremonious manner (The prime minister was visibly shaken when the unruly parliament interrupted his oration about failed domestic policies.)",n.
ornate,"highly elaborate, excessively decorated (The ornate styling of the new model of luxury car could not compensate for the poor quality of its motor.)",adj.
orthodox,"conventional, conforming to established protocol (The company’s profits dwindled because the management pursued orthodox business policies that were incompatible with new industrial trends.)",adj.
oscillate,"to sway from one side to the other (My uncle oscillated between buying a station wagon to transport his family and buying a sports car to satisfy his boyhood fantasies.)",v.
ostensible,"appearing as such, seemingly (Jack’s ostensible reason for driving was that airfare was too expensive, but in reality, he was afraid of flying.)",adj.
ostentatious,"excessively showy, glitzy (On the palace tour, the guide focused on the ostentatious decorations and spoke little of the royal family’s history.)",adj.
ostracism,"exclusion from a group (Beth risked ostracism if her roommates discovered her flatulence.)P",n.
pacific,"soothing (The chemistry professor’s pacific demeanor helped the class remain calm after the experiment exploded.)",adj. 
palatable,"agreeable to the taste or sensibilities (Despite the unpleasant smell, the exotic cheese was quite palatable.)",adj. 
palette,"a range of colors or qualities (The palette of colors utilized in the painting was equaled only by the range of intense emotions the piece evoked.)",adj.
palliate,"to reduce the severity of (The doctor trusted that the new medication would palliate her patient’s discomfort.)",v. 
pallid,"lacking color (Dr. Van Helsing feared that Lucy’s pallid complexion was due to an unexplained loss of blood.)",adj.
panacea,"a remedy for all ills or difficulties (Doctors wish there was a single panaceafor every disease, but sadly there is not.)",n.
paradigm,"an example that is a perfect pattern or model (Because the new SUV was so popular, it became the paradigm upon which all others were modeled.)",n.
paradox,"an apparently contradictory statement that is perhaps true (The diplomat refused to acknowledge the paradox that negotiating a peace treaty would demand more resources than waging war.)",n.
paragon,"a model of excellence or perfection (The mythical Helen of Troy was considered a paragon of female beauty.)",n.
paramount,"greatest in importance, rank, character (It was paramount that the bomb squad disconnect the blue wire before removing the fuse.)",adj.
pariah,"an outcast (Following the discovery of his plagiarism, Professor Hurley was made a pariah in all academic circles.)",n.
parody,"a satirical imitation (A hush fell over the classroom when the teacher returned to find Deborah acting out a parody of his teaching style.)",n.
parsimony,"frugality, stinginess (Many relatives believed that my aunt’s wealth resulted from her parsimony.)",n. 
partisan,"a follower, adherent (The king did not believe that his rival could round up enough partisans to overthrow the monarchy.)",n.
patent,"readily seen or understood, clear (The reason for Jim’s abdominal pain was made patent after the doctor performed a sonogram.)",adj. 
pathology,"a deviation from the normal (Dr. Hastings had difficulty identifying the precise nature of Brian’s pathology.)",n.
pathos,"an emotion of sympathy (Martha filled with pathos upon discovering the scrawny, shivering kitten at her door.)",n.
paucity,"small in quantity (Gilbert lamented the paucity of twentieth century literature courses available at the college.)",adj.
pejorative,"derogatory, uncomplimentary (The evening’s headline news covered an international scandal caused by a pejorative statement the famous senator had made in reference to a foreign leader.)",adj. 
pellucid,"easily intelligible, clear (Wishing his book to be pellucid to the common man, Albert Camus avoided using complicated grammar when composing The Stranger.)",adj. 
penchant,"a tendency, partiality, preference (Jill’s dinner parties quickly became monotonous on account of her penchant for Mexican dishes.)",n.
penitent,"remorseful, regretful (The jury’s verdict may have been more lenient if the criminal had appeared penitent for his gruesome crimes.)",adj.
penultimate,"next to last (Having smoked the penultimate cigarette remaining in the pack, Cybil discarded the last cigarette and resolved to quit smoking.)",adj.
penurious,"miserly, stingy (Stella complained that her husband’s penurious ways made it impossible to live the lifestyle she felt she deserved.)",adj.
perfidious,"disloyal, unfaithful (After the official was caught selling government secrets to enemy agents, he was executed for his perfidious ways.)",adj.
perfunctory,"showing little interest or enthusiasm (The radio broadcaster announced the news of the massacre in a surprisingly perfunctory manner.)",adj.
permeate,"to spread throughout, saturate (Mrs. Huxtable was annoyed that the wet dog’s odor had permeated the furniture’s upholstery.)",v. 
pernicious,"extremely destructive or harmful (The new government feared that the Communist sympathizers would have a pernicious influence on the nation’s stability.)",adj. 
perplex,"to confuse (Brad was perplexed by his girlfriend’s suddenly distant manner.)",v. 
perspicacity,"shrewdness, perceptiveness (The detective was too humble to acknowledge that his perspicacity was the reason for his professional success.)",adj.
pert,"flippant, bold (My parents forgave Sandra’s pert humor at the dinner table because it had been so long since they had last seen her.)",adj. 
pertinacious,"stubbornly persistent (Harry’s parents were frustrated with his pertinacious insistence that a monster lived in his closet. Then they opened the closet door and were eaten.)",adj.
perusal,"a careful examination, review (The actor agreed to accept the role after a two-month perusal of the movie script.)",n.
pervasive,"having the tendency to spread throughout (Stepping off the plane in Havana, I recognized the pervasive odor of sugar cane fields on fire.)",adj. 
petulance,"rudeness, irritability (The Nanny resigned after she could no longer tolerate the child’s petulance.)",n.
philanthropic,"charitable, giving (Many people felt that the billionaire’s decision to donate her fortune to house the homeless was the ultimate philanthropic act.)",adj. 
phlegmatic,"uninterested, unresponsive (Monique feared her dog was ill after the animal’s phlegmatic response to his favorite chew toy.)",adj.
pillage,"to seize or plunder, especially in war (Invading enemy soldiers pillaged the homes scattered along the country’s border.)",v. 
pinnacle,"the highest point (Book reviewers declared that the author’s new novel was extraordinary and probably the pinnacle ofWestern literature.)",n. 
pithy,"concisely meaningful (My father’s long-winded explanation was a stark contrast to his usually pithy statements.)",adj. 
pittance,"a very small amount, especially relating to money (Josh complained that he was paid a pittance for the great amount of work he did at the firm.)",n.
placate,"to ease the anger of, soothe (The man purchased a lollipop to placate his irritable son.)",v.
placid,"calm, peaceful (The placid lake surface was as smooth as glass.)",adj.
platitude,"an uninspired remark, cliché (After reading over her paper, Helene concluded that what she thought were profound insights were actually just platitudes.)",n. 
plaudits,"enthusiastic approval, applause (The controversial new film received plaudits from even the harshest critics.)",n.
plausible,"believable, reasonable (He studied all the data and then came up with a plausible theory that took all factors into account.)",adj.
plenitude,"an abundance (My grandmother was overwhelmed by the plenitude of tomatoes her garden yielded this season.)",n.
plethora,"an abundance, excess (The wedding banquet included a plethora of oysters piled almost three feet high.)",n.
pliable,"flexible (Aircraft wings are designed to be somewhat pliable so they do not break in heavy turbulence.)",adj.
poignant,"deeply affecting, moving (My teacher actually cried after reading to us the poignant final chapter of the novel.)",adj.
polemic,"an aggressive argument against a specific opinion (My brother launched into a polemic against my arguments that capitalism was an unjust economic system.)",n.
portent,"an omen (When a black cat crossed my sister’s path while she was walking to school, she took it as a portent that she would do badly on her spelling test.)",n. 
potable,"suitable for drinking (During sea voyages it is essential that ships carry a supply of potable water because salty ocean water makes anyone who drinks it sick.)",adj.
potentate,"one who has great power, a ruler (All the villagers stood along the town’s main road to observe as the potentate’s procession headed towards the capital.)",n. 
pragmatic,"practical (The politician argued that while increased security measures might not fit with the lofty ideals of the nation, they were a pragmatic necessity to ensure everyone’s safety.)",adj. 
precipice,"the face of a cliff, a steep or overhanging place (The mountain climber hung from a precipice before finding a handhold and pulling himself up.)",n.
preclude,"to prevent (My grandfather’s large and vicious guard dog precludedanyone from entering the yard.)",v. 
precocious,"advanced, developing ahead of time (Derek was so academically precocious that by the time he was 10 years old, he was already in the ninth grade.)",adj.
predilection,"a preference or inclination for something (Francois has a predilectionfor eating scrambled eggs with ketchup, though I prefer to eat eggs without any condiments.)",n. 
preponderance,"superiority in importance or quantity (Britain’s preponderance of naval might secured the nation’s role as a military power.)",adj. 
prepossessing,"occupying the mind to the exclusion of other thoughts or feelings (His prepossessing appearance made it impossible for me to think of anything else.)",adj.
presage,"an omen (When my uncle’s old war injury ached, he interpreted it as a presage of bad weather approaching.)",n. 
prescient,"to have foreknowledge of events (Questioning the fortune cookie’s prediction, Ray went in search of the old hermit who was rumored to be prescient.)",adj. 
prescribe,"to lay down a rule (The duke prescribed that from this point further all of the peasants living on his lands would have to pay higher taxes.)",v.
presumptuous,"disrespectfully bold (The princess grew angry after the presumptuous noble tried to kiss her, even though he was far below her in social status.)",adj. 
pretense,"an appearance or action intended to deceive (Though he actually wanted to use his parents’ car to go on a date, Nick borrowed his parents’ car under the pretense of attending a group study session.)",n.
primeval,"original, ancient (The first primates to walk on two legs, called Australopithecus, were the primeval descendants of modern man.)",adj. 
privation,"lacking basic necessities (After decades of rule by an oppressive government that saw nothing wrong with stealing from its citizens, the recent drought only increased the people’s privation.)",n.
probity,"virtue, integrity (Because he was never viewed as a man of great probity, no one was surprised by Mr. Samson’s immoral behavior.)",n. 
proclivity,"a strong inclination toward something (In a sick twist of fate, Harold’s childhood proclivity for torturing small animals grew into a desire to become a surgeon.)",n. 
procure,"to obtain, acquire (The FBI was unable to procure sufficient evidence to charge the gangster with racketeering.)",v.
profane,"lewd, indecent (Jacob’s profane act of dumping frogs in the holy water in the chapel at his boarding school resulted in his dismissal.)",adj. 
profligate,"dissolute, extravagant (The profligate gambler loved to drink, spend money, steal, cheat, and hang out with prostitutes.)",adj. 
profuse,"plentiful, abundant (The fans were profuse in their cheers for the star basketball player.)",adj.
promulgate,"to proclaim, make known (The film professor promulgated that both in terms of sex appeal and political intrigue, Sean Connery’s James Bond was superior to Roger Moore’s.)",v. 
propagate,"to multiply, spread out (Rumors of Paul McCartney’s demise propagatedlike wildfire throughout the world.)",v. 
propensity,"an inclination, preference (Dermit has a propensity for dangerous activities such as bungee jumping.)",n. 
propitious,"favorable (The dark storm clouds visible on the horizon suggested that the weather would not be propitious for sailing.)",adj.
propriety,"the quality or state of being proper, decent (Erma’s old-fashioned parents believed that her mini-skirt lacked the propriety expected of a “nice” girl.)",n. 
prosaic,"plain, lacking liveliness (Heather’s prosaic recital of the poem bored the audience.)",adj.
proscribe,"to condemn, outlaw (The town council voted to proscribe the sale of alcohol on weekends.)",v.
protean,"able to change shape; displaying great variety (Among Nigel’s proteantalents was his ability to touch the tip of his nose with his tongue.)",adj. 
prowess,"extraordinary ability (The musician had never taken a guitar lesson in his life, making his prowess with the instrument even more incredible.)",n. 
prudence,"cautious, circumspect (After losing a fortune in a stock market crash, my father vowed to practice greater prudence in future investments.)",n. 
prurient,"eliciting or possessing an extraordinary interest in sex (David’s mother was shocked by the discovery of prurient reading material hidden beneath her son’s mattress.)",adj. 
puerile,"juvenile, immature (The judge demanded order after the lawyer’s puerileattempt to object by stomping his feet on the courtroom floor.)",adj. 
